sku	asin	price	quantity	Business Price	Quantity Price Type	Quantity Lower Bound 1	Quantity Price 1	Quantity Lower Bound 2	Quantity Price 2	Quantity Lower Bound 3	Quantity Price 3	Quantity Lower Bound 4	Quantity Price 4	Quantity Lower Bound 5	Quantity Price 5	Progressive Price Type	Progressive Lower Bound 1	Progressive Price 1	Progressive Lower Bound 2	Progressive Price 2	Progressive Lower Bound 3	Progressive Price 3	Minimum order quantity	Sell remainder
SXM-901182-0331-G1a	B08MJMM6TB	15.99	0																					
SXM-901182-0332-G1	B08MJ94V3K	19.99	0																					
SXM-901182-0332-G1a	B07ZZ6XY2C	18.99	0																					
SXM-901182-0334-G1	B08MJJSVS5	19.99	0																					
SXM-901182-0334-G1a	B08MHZ3F8Q	18.99	0																					
SXM-901182-0335-G1	B08MJGF8LJ	24.99	0																					
SXM-901182-0335-G1a	B08MJTQ5XF	23.99	0																					
SXM-901182-0336-G1	B08MJTJ1WJ	24.99	0																					
SXM-901182-0336-G1a	B08MJF9VZN	23.99	0																					
SXM-901182-0337-G1	B08MJQ9QW9	28.99	0																					
SXM-901182-0337-G1a	B08MJKGG6X	27.99	0																					
SXM-901182-0338-G1	B07ZZ54M8W	28.99	0																					
SXM-901182-0338-G1a	B08MJQHZL1	27.99	0																					
SXM-901182-0338-G1t	B07Y26S51L	38.99	0																					
SXM-901182-0338-G1v	B08MJQHZL1	38.99	0																					
SXM-901182-0338-G1z	B07ZZ54M8W	38.99	0																					
SXM-901182-0340-G1	B08HZ1PJJL	42.99	0																					
SXM-901182-0340-G1y	B08212452M	42.99	0																					
SXM-901182-0341-G1	B08HZ1MG6N	50.99	0																					
SXM-901182-0341-G1q	B08HZ1MG6N	63.99	0																					
SXM-901182-0341-G1y	B08212FK4T	50.99	0																					
SXM-901182-0342-G1	B08HZ1459G	69.99	0																					
SXM-901182-0345-G1	B081RJS27S	28.99	0																					
SXM-901182-0345-G1c	B08G87C8Q2	28.99	0																					
SXM-901182-0345-G1d	B08G84GVG2	30.99	0																					
SXM-901182-0369-G1	B089Y7PYCZ	13.49	0																					
SXM-901182-0369-G1c	B08D7C8CP6	12.95	0																					
SXM-901182-0370-G1	B089XVTSGS	12.95	0																					
