sku	asin	price	quantity	Business Price	Quantity Price Type	Quantity Lower Bound 1	Quantity Price 1	Quantity Lower Bound 2	Quantity Price 2	Quantity Lower Bound 3	Quantity Price 3	Quantity Lower Bound 4	Quantity Price 4	Quantity Lower Bound 5	Quantity Price 5	Progressive Price Type	Progressive Lower Bound 1	Progressive Price 1	Progressive Lower Bound 2	Progressive Price 2	Progressive Lower Bound 3	Progressive Price 3	Minimum order quantity	Sell remainder
SXM-4618-G1z	B089RLW3LQ	29.99	47																					
SXM-4618-G2z	B089RLMLXJ	50.99	29																					
SXM-4619 4620-G1z	B089RLQKHS	37.99	30																					
SXM-4619-G1z	B089RM5KMM	23.89	50																					
SXM-4619-G2z	B089RN1KQP	32.99	29																					
SXM-4620 4621-G1z	B089RLRSMC	50.99	30																					
SXM-4620-G1z	B089RM61SF	27.99	48																					
SXM-4620-G2z	B089RLY55R	46.99	29																					
SXM-4621-G1z	B089RM2MJ5	31.99	50																					
SXM-4621-G2z	B089R3RW4X	55.99	30																					
SXM-4622 4623-G1z	B089RM8LF2	41.99	30																					
SXM-4622-G1z	B089RMMVFB	23.99	49																					
SXM-4622-G2z	B089RM9J84	39.99	30																					
SXM-4623 4624-G1z	B089R52L4R	55.99	30																					
SXM-4623-G1z	B089RN8SXD	29.99	50																					
SXM-4623-G2z	B089RMMVMM	50.99	28																					
SXM-4624-G1z	B089RM1TJY	34.99	48																					
SXM-4624-G2z	B089RMHFXT	60.99	30																					
SXM-4625-G1z	B089RN1KQS	27.99	46																					
SXM-4625-G2z	B089RM1TJX	46.99	29																					
SXM-4626 4627-G1z	B089RL97R2	65.99	30																					
SXM-4626-G1z	B089RL462J	33.99	45																					
SXM-4626-G2z	B089RMYYKL	58.99	28																					
SXM-4627-G1z	B089RM211Z	39.99	48																					
SXM-4627-G2z	B089RLWMWD	71.99	21																					
SXM-4779-G1	B07XYYP96T	69.99	28																					false
SXM-4779-G1c	B095M5FCZW	79.99	200																					
SXM-4801-G1	B09528HSGB	34.99	48																					
SXM-4801-G1a	B095CL32B3	34.99	47																					
SXM-4801-G1z	B08RBR8YSJ	36.99	73																					
SXM-4802-G1	B09526Y6PZ	39.99	50																					
SXM-4802-G1a	B095CHV1CG	39.99	48																					
SXM-4802-G1z	B08RBR6M5Q	53.99	99																					
SXM-4803-G1	B095285QRN	49.99	47																					
SXM-4803-G1a	B095CFSQFF	49.99	50																					
SXM-4804-G1	B0952834PV	56.99	50																					
SXM-4805-G1	B095262RM2	75.99	50																					
SXM-4921-G1a	B07WFVVMD3	25.99	50																					
SXM-4922-G1	B08X2RG9QQ	28.99	50																					
SXM-4922-G1a	B07WK3SFJJ	28.99	50																					
SXM-4923-G1	B07WMWT1VC	29.99	50																					
SXM-4924-G1	B07WK3SVWP	40.99	50																					
SXM-5010-G1	B07W7BH99D	19.99	30																					false
SXM-5010-G1a	B0817KK959	19.99	25																					false
SXM-5010-G2	B0876M8VVY	32.99	25																					
SXM-5010-G4	B0876PBM4N	59.99	29																					
SXM-5011-G1	B07W7C8DWS	19.99	30																					false
SXM-5011-G1a	B0817H4J9S	19.99	25																					false
SXM-5011-G2	B0876MRTNP	32.99	25																					
SXM-5011-G4	B0876NWVN5	59.99	25																					
SXM-5012-G1	B07W57QQDV	19.99	30																					false
SXM-5012-G1a	B0817JTWXN	19.99	50																					false
SXM-5012-G2	B0876MRGRP	32.99	30																					
SXM-5012-G4	B0876N19K9	59.99	30																					
SXM-5013-G1	B07W7C974Z	19.99	26																					false
SXM-5013-G1a	B0817J2HLB	19.99	35																					false
SXM-5013-G2	B0876PGKB9	32.99	35																					
SXM-5013-G4	B0876NL4D4	59.99	35																					
SXM-5100-G1	B08NJWP2Z6	19.99	21																					
SXM-5190-G1	B08ML4FRZ6	41.99	28																					false
SXM-5191-G1	B08ML1JWVC	42.99	28																					false
SXM-5192-G1	B098SY8RWC	64.98	41																					
SXM-5204-G2	B08D6N4R8M	19.99	95																					
SXM-5204-G2a	B07ZZ4SYKY	19.99	48																					
SXM-5204-G2j	B08W58X6FZ	19.99	45																					false
SXM-5204-G4	B08D6LZRSW	32.99	98																					
SXM-5204-G4a	B07ZZ4CJR9	29.99	50																					
SXM-5204-G4j	B08W58F5XB	30.99	42																					false
SXM-5204-G6	B08D6M16RC	45.99	99																					
SXM-5204-G6j	B08W57QYNM	43.99	48																					false
SXM-5204-G8	B08D6M5RG6	58.99	99																					
SXM-5204-G8a	B07ZZ4B66P	54.99	49																					
SXM-5204-G8j	B08W58B5WB	54.99	52																					false
SXM-5319-G1	B0972XT251	11.99	45																					
SXM-5340-G1a	B08XNRFLS2	105.99	49																					false
SXM-5341-G1a	B08XNPGR4C	105.99	47																					false
SXM-5359-G1	B07ZNRX7H8	27.99	32																					false
SXM-5390-G1	B08JLYZVJX	16.99	29																					false
SXM-5442-G1a	B08YWS5CHL	246.89	30																					
SXM-5442-G1b	B08XLRSZK1	239.99	30																					false
SXM-5442-G1m	B07RLMTMFQ	220.99	17																					
SXM-5443-G1a	B08YWPS87T	259.99	30																					
SXM-5443-G1b	B08XLRP3YQ	249.99	30																					false
SXM-5443-G1m	B07RLLK4NK	250.99	22																					
SXM-5444-G1b	B08XM44CW8	259.99	30																					false
SXM-5444-G1m	B07RHMZS57	280.99	28																					
SXM-5463-G3a	B08CRQM6MM	13.99	35																					
SXM-5470-G1	B08WX4FYX6	23.59	94																					false
SXM-5471-G1	B08WX5X2D3	35.99	89																					false
SXM-5472-G1	B08WXCDYLN	48.99	99																					false
SXM-5473-G1	B083XM4BH4	10.99	77																					false
SXM-5482-G1	B08DHKCTDR	89.99	50																					false
SXM-5525-G1b	B08ZD9W9Z9	48.99	43																					false
SXM-5525-G1c	B08ZD675B9	48.99	86																					false
SXM-5591-G10d	B08WRK62B9	45.99	50																					
SXM-5591-G15d	B08WRH66JB	55.99	49																					
SXM-5591-G20d	B08WR8TQZM	70.99	47																					
SXM-5591-G25d	B08WRZ25GK	86.99	50																					
SXM-5591-G30d	B08WR1RB2M	103.99	50																					
SXM-5591-G35d	B08WRG8Q7C	120.99	50																					
SXM-5591-G40d	B08WR68HJD	137.99	50																					
SXM-5591-G45d	B08WR65XLD	154.99	50																					
SXM-5591-G50d	B08WRBMZ2S	171.99	50																					
